# timestamps [seconds],pts
243973.429249,2463809
243973.465191,2466164
243973.497271,2468266
243973.529296,2470365
243973.565498,2472738
243973.597267,2474820
243973.633458,2477191
243973.665270,2479276
243973.697295,2481375
243973.733235,2483730
243973.765258,2485829
243973.797450,2487939
243973.833395,2490294
243973.865556,2492402
243973.901343,2494747
243973.933253,2496838
243973.965182,2498931
243974.001753,2501328
243974.033300,2503395
243974.069330,2505756
243974.101243,2507848
243974.133255,2509946
243974.169278,2512306
243974.201284,2514404
243974.233308,2516503
243974.269312,2518862
243974.301296,2520958
243974.338293,2523383
243974.369363,2525419
243974.401278,2527510
243974.437425,2529879
243974.469857,2532005
243974.501359,2534069
243974.537528,2536440
243974.569496,2538535
243974.605372,2540886
243974.637493,2542991
243974.669350,2545079
243974.705575,2547453
243974.737325,2549533
243974.769388,2551635
243974.805415,2553996
243974.837287,2556084
243974.873363,2558449
243974.905387,2560547
243974.937475,2562650
243974.973568,2565015
243975.005394,2567101
243975.037459,2569203
243975.082686,2572167
243975.105461,2573659
243975.141449,2576018
243975.173405,2578112
243975.205497,2580215
243975.241355,2582565
243975.273568,2584676
243975.305312,2586756
243975.341532,2589130
243975.373322,2591213
243975.409338,2593574
243975.441342,2595671
243975.473307,2597766
243975.509507,2600138
243975.541378,2602227
243975.573319,2604320
243975.609506,2606692
243975.641631,2608797
243975.677299,2611134
243975.709257,2613229
243975.741372,2615334
243975.777806,2617721
243975.810280,2619849
243975.845277,2622143
243975.877347,2624245
243975.909442,2626348
243975.945577,2628716
243975.977390,2630801
243976.009415,2632900
243976.045478,2635263
243976.077480,2637360
243976.113449,2639718
243976.145694,2641831
243976.177434,2643911
243976.213378,2646266
243976.245954,2648401
243976.278110,2650509
243976.313291,2652814
243976.345580,2654930
243976.382410,2657344
243976.413552,2659385
243976.446316,2661532
243976.481385,2663830
243976.513379,2665927
243976.545717,2668046
243976.581476,2670390
243976.613378,2672480
243976.649440,2674844
243976.681491,2676944
243976.713420,2679037
243976.749415,2681396
243976.781447,2683495
243976.813374,2685587
243976.849516,2687956
243976.881463,2690049
243976.917407,2692405
243976.949404,2694502
243976.981307,2696593
243977.017413,2698959
243977.049476,2701060
243977.081550,2703162
243977.117447,2705515
243977.149682,2707627
243977.185430,2709970
243977.217494,2712071
243977.249703,2714182
243977.285445,2716524
243977.317423,2718620
243977.353422,2720979
243977.385392,2723074
243977.417487,2725178
243977.453468,2727536
243977.485486,2729634
243977.517377,2731724
243977.553770,2734109
243977.586154,2736231
243977.621430,2738543
243977.653401,2740638
243977.685456,2742739
243977.721455,2745098
243977.753698,2747211
243977.785489,2749295
243977.821438,2751651
243977.853502,2753752
243977.889453,2756108
243977.921415,2758203
243977.953972,2760336
243977.989472,2762663
243978.021475,2764760
243978.053463,2766856
243978.089473,2769216
243978.121375,2771307
243978.157805,2773694
243978.189425,2775767
243978.221695,2777881
243978.257394,2780221
243978.289440,2782321
243978.321581,2784428
243978.358605,2786854
243978.389437,2788874
243978.425411,2791232
243978.457434,2793331
243978.489941,2795461
243978.525395,2797784
243978.557626,2799897
243978.589704,2801999
243978.625557,2804349
243978.658305,2806495
243978.693414,2808796
243978.725455,2810895
243978.757542,2812998
243978.793494,2815354
243978.825531,2817454
243978.861511,2819812
243978.893485,2821907
243978.925505,2824006
243978.961464,2826362
243978.993491,2828461
243979.025449,2830556
243979.061495,2832918
243979.093561,2835019
243979.129444,2837371
243979.161457,2839469
243979.193402,2841562
243979.229525,2843930
243979.261617,2846033
243979.293772,2848140
243979.329509,2850482
243979.361496,2852578
243979.397495,2854938
243979.429455,2857032
243979.461468,2859130
243979.497544,2861494
243979.529819,2863609
243979.561492,2865685
243979.597441,2868041
243979.629494,2870142
243979.665522,2872503
243979.697575,2874603
243979.729990,2876728
243979.765419,2879049
243979.797489,2881151
243979.829577,2883254
243979.865441,2885604
243979.897503,2887706
243979.933530,2890067
243979.965555,2892165
243979.997789,2894278
243980.033493,2896618
243980.065493,2898715
243980.097509,2900813
243980.133522,2903173
243980.165530,2905271
243980.201502,2907628
243980.233494,2909725
243980.265525,2911824
243980.301514,2914182
243980.333524,2916280
243980.365599,2918382
243980.401597,2920741
243980.433601,2922839
243980.469489,2925191
243980.501650,2927298
243980.533608,2929393
243980.569757,2931762
243980.601555,2933846
243980.637492,2936201
243980.669529,2938300
243980.701620,2940403
243980.737651,2942765
243980.769549,2944855
243980.801530,2946951
243980.837715,2949322
243980.869955,2951435
243980.905494,2953764
243980.937529,2955864
243980.969588,2957965
243981.005549,2960321
243981.037530,2962417
243981.069520,2964514
243981.105505,2966872
243981.137476,2968967
243981.173462,2971326
243981.205503,2973425
243981.237580,2975528
243981.273630,2977890
243981.305949,2980008
243981.337619,2982084
243981.373547,2984438
243981.405963,2986562
243981.442475,2988955
243981.473613,2990996
243981.506318,2993139
243981.541541,2995448
243981.573577,2997547
243981.605507,2999640
243981.641563,3002003
243981.673530,3004097
243981.709547,3006458
243981.741628,3008560
243981.773572,3010654
243981.809575,3013013
243981.841670,3015117
243981.873532,3017205
243981.909625,3019570
243981.942057,3021695
243981.977544,3024021
243982.009498,3026115
243982.041561,3028216
243982.078137,3030613
243982.109565,3032673
243982.145529,3035030
243982.177604,3037132
243982.209663,3039233
243982.245533,3041584
243982.277631,3043687
243982.309553,3045779
243982.345595,3048141
243982.377604,3050239
243982.413581,3052597
243982.445546,3054692
243982.477673,3056797
243982.513978,3059176
243982.545654,3061252
243982.577594,3063345
243982.613553,3065702
243982.645648,3067805
243982.681670,3070166
243982.713555,3072256
243982.748060,3074517
243982.781675,3076720
243982.813615,3078813
243982.845658,3080913
243982.881701,3083275
243982.913626,3085367
243982.950284,3087770
243982.981843,3089838
243983.014016,3091946
243983.049626,3094280
243983.081812,3096389
243983.113536,3098468
243983.149542,3100828
243983.181588,3102928
243983.218078,3105319
243983.249652,3107389
243983.281698,3109489
243983.317543,3111838
243983.349607,3113939
243983.381569,3116034
243983.417847,3118411
243983.449670,3120497
243983.485647,3122855
243983.517658,3124952
243983.549641,3127048
243983.585591,3129404
243983.617722,3131510
243983.654301,3133907
243983.685898,3135978
243983.718492,3138114
243983.753660,3140419
243983.785659,3142516
243983.817793,3144622
243983.853689,3146974
243983.885641,3149068
243983.921607,3151425
243983.953695,3153528
243983.985655,3155623
243984.021672,3157983
243984.053637,3160078
243984.085602,3162173
243984.121655,3164535
243984.154266,3166673
243984.189647,3168991
243984.221672,3171090
243984.253656,3173186
243984.289618,3175543
243984.321736,3177648
243984.353787,3179748
243984.389630,3182097
243984.421590,3184192
243984.457682,3186557
243984.489704,3188655
243984.521617,3190747
243984.557690,3193111
243984.589708,3195209
243984.621713,3197307
243984.657669,3199663
243984.689656,3201759
243984.725654,3204118
243984.757966,3206236
243984.789821,3208324
243984.825613,3210669
243984.857717,3212773
243984.889692,3214869
243984.925647,3217225
243984.957681,3219324
243984.993713,3221686
243985.025696,3223782
243985.057944,3225895
243985.093751,3228242
243985.125691,3230335
243985.157680,3232431
243985.194371,3234836
243985.225738,3236891
243985.261663,3239246
243985.293876,3241357
243985.325622,3243437
243985.362511,3245855
243985.393682,3247898
243985.429804,3250265
243985.461767,3252360
243985.493766,3254457
243985.529811,3256819
243985.561731,3258911
243985.593798,3261012
243985.629915,3263379
243985.661902,3265475
243985.698050,3267844
243985.729755,3269922
243985.761714,3272017
243985.798773,3274445
243985.829917,3276486
243985.861740,3278572
243985.897714,3280929
243985.930049,3283048
243985.965740,3285387
243985.997817,3287490
243986.029690,3289578
243986.065727,3291940
243986.097723,3294037
243986.130574,3296190
243986.166040,3298514
243986.197776,3300594
243986.233719,3302949
243986.266192,3305078
243986.297761,3307146
243986.333778,3309507
243986.365822,3311607
243986.397852,3313706
243986.433720,3316057
243986.465762,3318156
243986.502491,3320563
243986.533823,3322617
243986.566011,3324726
243986.601746,3327068
243986.633723,3329164
243986.669447,3331505
243986.701756,3333622
243986.733765,3335720
243986.769740,3338078
243986.801762,3340176
243986.833721,3342271
243986.869747,3344632
243986.901827,3346734
243986.937725,3349087
243986.970742,3351250
243987.001830,3353288
243987.037753,3355642
243987.069792,3357742
243987.101694,3359832
243987.138237,3362227
243987.169858,3364299
243987.205691,3366648
243987.237807,3368752
243987.269740,3370845
243987.305893,3373214
243987.337839,3375308
243987.369771,3377401
243987.405744,3379758
243987.437703,3381853
243987.473728,3384213
243987.505720,3386310
243987.538528,3388460
243987.574558,3390821
243987.605889,3392875
243987.638084,3394985
243987.674038,3397341
243987.706288,3399454
243987.741832,3401784
243987.773899,3403885
243987.805816,3405977
243987.842566,3408385
243987.873816,3410433
243987.906089,3412548
243987.941769,3414887
243987.973771,3416984
243988.009843,3419348
243988.042518,3421489
243988.074186,3423564
243988.109828,3425900
243988.141783,3427994
243988.174066,3430110
243988.210141,3432474
243988.241894,3434555
243988.278174,3436933
243988.310076,3439024
243988.342112,3441123
243988.377879,3443467
243988.409724,3445554
243988.441901,3447663
243988.478268,3450046
243988.509864,3452117
243988.545830,3454474
243988.577963,3456580
243988.609806,3458666
243988.646270,3461056
243988.677762,3463120
243988.713823,3465483
243988.745946,3467588
243988.777827,3469678
243988.813823,3472037
243988.846318,3474166
243988.878097,3476249
243988.914120,3478610
243988.945949,3480695
243988.981852,3483048
243989.013785,3485141
243989.045928,3487248
243989.082034,3489614
243989.113867,3491700
243989.145796,3493792
243989.181905,3496159
243989.214518,3498296
243989.249799,3500608
243989.281760,3502703
243989.313809,3504803
243989.349811,3507163
243989.381856,3509263
243989.413798,3511356
243989.449875,3513720
243989.481885,3515818
243989.517961,3518182
243989.549970,3520280
243989.581909,3522373
243989.617947,3524735
243989.649944,3526832
243989.682068,3528937
243989.717817,3531280
243989.749822,3533377
243989.785995,3535748
243989.817987,3537844
243989.850779,3539994
243989.885920,3542296
243989.917870,3544390
243989.950404,3546522
243989.986008,3548856
243990.017885,3550945
243990.053845,3553301
243990.085880,3555401
243990.117906,3557500
243990.153954,3559862
243990.185983,3561961
243990.221953,3564318
243990.253946,3566415
243990.285878,3568508
243990.321958,3570872
243990.353916,3572967
243990.385794,3575056
243990.422315,3577449
243990.454472,3579557
243990.490041,3581888
243990.521907,3583976
243990.554083,3586085
243990.590011,3588439
243990.621935,3590531
243990.653825,3592621
243990.690477,3595023
243990.721853,3597079
243990.757804,3599435
243990.789934,3601541
243990.821838,3603632
243990.857898,3605995
243990.890625,3608140
243990.922105,3610203
243990.957896,3612548
243990.989860,3614643
243991.026319,3617033
243991.057959,3619106
243991.090071,3621211
243991.126006,3623566
243991.157981,3625661
243991.190660,3627803
243991.226231,3630134
243991.257865,3632207
243991.294191,3634588
243991.325908,3636666
243991.358033,3638771
243991.393906,3641122
243991.425881,3643218
243991.457922,3645318
243991.493942,3647678
243991.526003,3649779
243991.562448,3652168
243991.593942,3654232
243991.626045,3656336
243991.661881,3658684
243991.693842,3660779
243991.729945,3663145
243991.761913,3665240
243991.793994,3667342
243991.829883,3669694
243991.861890,3671792
243991.893880,3673888
243991.929943,3676252
243991.961965,3678350
243991.998443,3680741
243992.030015,3682810
243992.062005,3684906
243992.097848,3687255
243992.129986,3689361
243992.161877,3691451
243992.198224,3693833
243992.230076,3695921
243992.265976,3698273
243992.297947,3700369
243992.329887,3702462
243992.365977,3704827
243992.397978,3706924
243992.429936,3709019
243992.466009,3711383
243992.497958,3713476
243992.534074,3715843
243992.565912,3717930
243992.597972,3720031
243992.634863,3722448
243992.666115,3724497
243992.698053,3726590
243992.733931,3728941
243992.765905,3731036
243992.802262,3733419
243992.833954,3735496
243992.865921,3737591
243992.901964,3739953
243992.934034,3742055
243992.966068,3744154
243993.001916,3746503
243993.033952,3748603
243993.069990,3750964
243993.102093,3753068
243993.133993,3755159
243993.170010,3757519
243993.202131,3759624
243993.234003,3761713
243993.270306,3764092
243993.302872,3766226
243993.338037,3768531
243993.370111,3770633
243993.402175,3772734
243993.437951,3775079
